ProductKey,SupplierKey,OrderDateKey,OrderID,Production_ID,ProductionStatus,CostPerUnit,PricePerUnit,Quantity,Team_Member_ID,Product_ID,ProductName,Version
1,24,20230228,1491,1462,In Delivery,20.19,25.61,694,31,1,Cellulose Blown-In Insulation,7241
1,24,20230228,1491,981,Cancelled,20.19,25.61,694,39,1,Cellulose Blown-In Insulation,6758
1,24,20230228,1491,1455,In Process,20.19,25.61,694,29,1,Cellulose Blown-In Insulation,7234
1,2,20230228,1491,1462,In Delivery,20.19,25.61,694,31,1,Cellulose Blown-In Insulation,7241
1,2,20230228,1491,981,Cancelled,20.19,25.61,694,39,1,Cellulose Blown-In Insulation,6758
1,2,20230228,1491,1455,In Process,20.19,25.61,694,29,1,Cellulose Blown-In Insulation,7234
1,24,20240209,1426,563,In Delivery,20.19,25.61,694,3,1,Cellulose Blown-In Insulation,6338
1,24,20240209,1426,2355,Complete,20.19,25.61,694,39,1,Cellulose Blown-In Insulation,8137
1,24,20230708,1493,2719,Complete,20.19,25.61,694,8,1,Cellulose Blown-In Insulation,8503
1,24,20230708,1493,697,Cancelled,20.19,25.61,694,15,1,Cellulose Blown-In Insulation,6473
1,24,20230708,1493,386,In Delivery,20.19,25.61,694,15,1,Cellulose Blown-In Insulation,6161
1,2,20241120,1243,677,In Delivery,20.19,25.61,694,40,1,Cellulose Blown-In Insulation,6453
1,2,20241120,1243,2228,In Process,20.19,25.61,694,4,1,Cellulose Blown-In Insulation,8010
1,2,20241120,1243,878,Complete,20.19,25.61,694,39,1,Cellulose Blown-In Insulation,6654
1,2,20241120,1243,1775,In Process,20.19,25.61,694,37,1,Cellulose Blown-In Insulation,7555
1,24,20241120,1243,677,In Delivery,20.19,25.61,694,40,1,Cellulose Blown-In Insulation,6453
1,2,20241218,258,1472,In Process,20.19,25.61,694,17,1,Cellulose Blown-In Insulation,7251
1,2,20241218,258,556,Cancelled,20.19,25.61,694,26,1,Cellulose Blown-In Insulation,6331
1,2,20241218,258,652,In Process,20.19,25.61,694,15,1,Cellulose Blown-In Insulation,6428
1,2,20241218,258,2538,In Delivery,20.19,25.61,694,29,1,Cellulose Blown-In Insulation,8321
1,24,20241120,1243,2228,In Process,20.19,25.61,694,4,1,Cellulose Blown-In Insulation,8010
1,24,20241120,1243,878,Complete,20.19,25.61,694,39,1,Cellulose Blown-In Insulation,6654
1,24,20241120,1243,1775,In Process,20.19,25.61,694,37,1,Cellulose Blown-In Insulation,7555
1,24,20241218,258,1472,In Process,20.19,25.61,694,17,1,Cellulose Blown-In Insulation,7251
